Access Of Foreign Data (AOFD);Coupling Between Objects (CBO);Cyclomatic Complexity (CC);Changing Classes (ChC);Changing Methods (CM);Depth Of Inheritance Hierarchy (DIT);Lines Of Code (LOC);Number of Accessor Methods (NAM);Number Of Child Classes (NOCC);Number Of Public Attributes (NOPA);Response For Class (RFC);Tight Class Cohesion (TCC);Weighted Chancging Methods (WCM);Weight Of a Class (WOC);Lack of Cohesion (LCOM);Refused Bequest Smell;Feature Envy Smell;Long Method Smell;Large Class Smell;Data Class Smell;Shotgun Surgery Smell
1.0;9;11;4;1;0;255;0;3;6;0;38;1;150;65;none;none;none;none;none;none
0.0;0;1;8;1;0;45;4;1;8;0;9;1;50;83;none;none;none;none;none;none
0.0;0;1;13;1;0;35;1;1;7;0;8;0;46;85;none;none;none;none;none;none
0.0;0;_;11;3;0;13;0;1;0;0;0;0;0;0;none;none;none;none;none;none
1.0;3;2;22;2;1;120;0;1;20;0;50;1;91;81;none;none;none;none;none;none
2.0;3;5;10;1;3;94;0;1;6;0;42;1;60;74;Refused Bequest;none;none;none;none;none
0.0;0;3;6;1;1;75;0;1;6;0;26;3;100;0;none;none;none;none;none;none
0.0;2;1;3;0;0;47;0;1;3;0;4;0;100;60;none;none;none;none;none;none
0.0;3;1;5;0;0;241;0;1;6;0;10;0;120;79;none;none;none;none;none;none
0.0;2;1;4;0;1;84;0;1;2;0;14;0;50;83;none;none;none;none;none;none
0.0;0;_;11;2;0;68;0;1;0;0;0;0;0;0;none;none;none;none;none;none
2.0;3;23;1;0;2;780;0;1;29;0;56;1;2900;89;none;none;none;none;none;Shotgun Surgery
3.0;4;60;4;0;2;1595;0;2;32;0;57;1;800;92;none;none;none;none;none;Shotgun Surgery
0.0;0;_;0;0;1;6;0;1;0;0;11;0;0;0;none;none;none;none;none;none
0.0;0;2;0;0;1;92;0;1;3;0;14;0;3;50;none;none;none;none;none;none
1.0;10;10;0;0;1;95;0;1;1;0;40;7;1;50;none;none;none;none;none;Shotgun Surgery
1.0;1;1;5;0;1;21;0;1;5;0;22;1;100;0;none;none;none;none;none;none
2.0;19;6;4;5;1;112;0;1;6;0;51;14;150;64;none;none;none;none;none;none
1.0;15;5;1;0;2;88;0;1;2;0;82;5;200;22;Refused Bequest;none;none;none;none;none
0.0;0;1;0;0;4;14;0;1;0;0;24;0;0;0;none;none;none;none;none;none
1.0;7;9;0;0;1;58;0;1;0;0;31;5;0;0;none;none;none;none;none;none
0.0;9;6;4;4;1;289;0;10;4;0;52;2;100;66;none;none;none;none;none;none
0.0;0;1;1;0;2;7;0;1;1;0;16;0;100;0;none;none;none;none;none;none
0.0;0;1;2;0;3;11;0;1;2;0;22;0;100;0;none;none;none;none;none;none
0.0;3;1;8;5;1;46;4;1;8;0;20;0;50;72;none;none;none;none;none;none
0.0;8;2;5;1;2;130;0;3;5;0;45;5;100;0;none;none;none;none;none;none
0.0;7;2;2;0;2;26;0;1;2;0;30;3;100;0;none;none;none;none;none;none
1.0;8;2;2;0;2;59;0;1;2;0;34;4;100;0;none;none;none;none;none;none
0.0;0;1;1;0;2;7;0;1;1;0;17;0;100;0;none;none;none;none;none;none
0.0;2;3;2;0;2;51;0;2;2;0;27;1;100;0;none;none;none;none;none;none
1.0;4;3;2;0;2;35;0;1;2;0;29;3;100;0;none;none;none;none;none;none
0.0;0;1;5;2;0;8;0;1;5;0;5;0;100;0;none;none;none;none;none;none
1.0;12;3;2;1;1;63;0;1;2;0;35;7;100;0;none;none;none;none;none;none
5.0;29;5;0;0;6;632;0;10;2;0;591;11;2;40;Refused Bequest;none;none;none;none;none
0.0;3;5;1;0;1;24;0;1;1;0;16;3;100;0;none;none;none;none;none;none
5.0;23;3;0;0;5;98;0;2;2;0;487;4;2;55;none;none;none;none;none;none
1.0;8;2;1;0;1;21;0;1;1;0;25;3;100;0;none;none;none;none;none;none
2.0;12;5;2;1;2;116;0;1;6;0;43;4;300;61;none;none;none;none;none;none
5.0;14;3;1;0;5;64;0;1;3;0;478;5;300;50;none;none;none;none;none;none
3.0;10;1;6;1;5;80;0;1;6;0;483;6;100;85;none;none;none;none;none;none
2.0;6;1;0;0;5;24;0;1;0;0;462;3;0;0;none;none;none;none;none;none
0.0;1;1;1;0;2;7;0;1;1;0;33;1;100;0;none;none;none;none;none;none
2.0;6;2;5;1;1;68;0;1;5;0;30;3;100;0;none;none;none;none;none;none
1.0;4;7;13;2;1;300;0;1;15;0;34;2;115;71;none;none;none;none;none;none
2.0;4;8;29;3;1;353;0;1;30;0;71;3;103;56;none;none;none;none;Data Class;none
0.0;1;6;44;2;1;195;0;1;8;14;31;2;18;92;none;none;Long Methodt;none;none;none
2.0;7;13;15;1;3;308;0;3;15;0;66;3;100;83;Refused Bequest;none;none;none;none;none
0.0;3;1;3;0;1;22;0;1;3;0;20;0;100;0;none;none;none;none;none;none
0.0;3;1;3;1;0;12;0;1;3;0;3;0;100;0;none;none;none;none;none;none
2.0;5;6;10;0;3;168;0;1;11;0;49;2;110;75;Refused Bequest;none;none;none;none;none
2.0;0;2;52;3;1;189;23;1;52;0;72;2;56;96;none;none;none;none;none;none
0.0;4;2;21;1;1;52;4;1;14;7;28;1;48;84;none;none;none;none;none;none
0.0;2;1;8;1;0;37;5;1;8;0;9;0;38;80;none;none;none;none;none;none
1.0;13;8;37;0;0;676;0;1;45;0;107;4;122;94;none;none;none;none;none;none
0.0;0;2;4;0;1;22;0;1;4;0;16;0;100;60;none;none;none;none;none;none
1.0;18;15;0;0;1;212;0;1;12;0;88;14;12;80;none;none;none;none;none;none
